	954.0
setan2	3.0
blasss	2.0
hatilah	7.0
dikuburan	2.0
pamer	33.0
kuganyang	1.0
bobotnja	1.0
diambangkan	1.0
winarto	1.0
komandan	14.0
timah	5.0
0	33.0
1	1409.0
reman	1.0
2	2422.0
angaran	2.0
3	841.0
4	121.0
5	263.0
6	80.0
7	129.0
ampasan	1.0
8	25.0
9	53.0
graaaaaaakkk	1.0
sisik	1.0
nyeletuk	1.0
remas	3.0
kencang	8.0
kehancurannnn	1.0
khdupan	1.0
sron	9.0
peyot	1.0
pikran	1.0
dengungkan	2.0
sucses	1.0
_	20.0
hebaaaattt	1.0
a	3931.0
b	1172.0
mempin	1.0
keluar2	1.0
c	113.0
d	1565.0
e	1604.0
f	397.0
g	1414.0
h	894.0
i	1420.0
j	71.0
sektretris	1.0
k	1534.0
dipoligami	2.0
l	1208.0
m	1618.0
elektatsbilitas	1.0
diperhitungkan	2.0
n	2625.0
srng	1.0
o	662.0
p	1405.0
q	48.0
r	1143.0
s	1610.0
t	1778.0
milenium	1.0
u	1747.0
siska	6.0
v	62.0
w	300.0
x	314.0
y	560.0
z	46.0
adrian	5.0
memandang	18.0
srmw	1.0
suryani	1.0
penikut	1.0
heeeee	6.0
memhetahui	1.0
bolehhh	2.0
pemerentah	3.0
pulomas	5.0
jugakah	1.0
buntutnya	1.0
fictim	2.0
rezieq	4.0
pamit	12.0
pertengkaran	1.0
berleha2	1.0
cingcay	1.0
setara	17.0
jempoli	1.0
pesawatnya	1.0
mengatakana	1.0
remek	2.0
mlaysia	2.0
rsanya	1.0
mbaah	1.0
akbarrrr	1.0
infornasi	1.0
salalu	1.0
remeh	2.0
salama	1.0
drengki	1.0
sholatnya	4.0
pengancam	3.0
indonesiaaa	1.0
denagan	1.0
buzer	3.0
bolehin	4.0
bgmanapun	1.0
memper	9.0
jgain	1.0
bongan	1.0
riyon	1.0
heeeer	1.0
balekkin	1.0
sruh	3.0
sispa	1.0
manjat	1.0
ofik	1.0
flpi	1.0
dummy	1.0
majikann	1.0
berminat	2.0
dipaksain	2.0
derigen	1.0
kompooor	2.0
flow	2.0
ayah2nya	1.0
melindungin	2.0
pamor	12.0
indonesiaku	23.0
nurmantio	1.0
mngambil	1.0
babiburahman	3.0
salam2	2.0
mengkoresi	1.0
sklipun	2.0
segel	2.0
srta	1.0
makassar	6.0
mengkhianati	4.0
pnsta	1.0
kalogak	2.0
mbahh	1.0
seger	3.0
mbahe	1.0
jgan2	2.0
kenyara	1.0
srvy	1.0
salahx	1.0
srmpurna	1.0
oasti	1.0
asyiknya	3.0
gonblok	1.0
mempan	19.0
kristen	328.0
jbtan	1.0
salain	1.0
bertuhan	10.0
melindunggi	1.0
kebaikanmu	1.0
buakakakak	1.0
blablabla	1.0
salafi	1.0
salah2	2.0
merindloi	3.0
mampuuus	2.0
cagubnya	7.0
mogok	4.0
hhhhhhhhhhh	1.0
kota2	3.0
jempoel	2.0
mantabbbbb	2.0
perpecahn	1.0
kecewakan	1.0
keluarr	1.0
kotak	6.0
nazar	4.0
ygdemo	1.0
dumia	1.0
merdekaaa	1.0
sifat2	5.0
segar	5.0
segan	9.0
jugaaa	2.0
hapalan	4.0
sifarhat	1.0
cusss	1.0
woooiiii	1.0
kenyang	26.0
dikultuskan	2.0
astagfirullah	35.0
kotba	1.0
wicara	1.0
sifatx	2.0
mbakk	1.0
berhentinya	1.0
berkenan	5.0
ktany	1.0
avanza	2.0
srjalan	1.0
manjah	1.0
sekesaikan	1.0
goreng	57.0
jentel	5.0
gorenk	1.0
diperanan	1.0
iyuhhh	1.0
dungu	53.0
yaelah	11.0
dlxkan	1.0
bertiup	1.0
memperingatka	1.0
premannya	2.0
bocorrrr	1.0
membinasakan	3.0
gemeter	2.0
bela2in	4.0
menunggu	48.0
permainanya	1.0
glendem	1.0
akhbar	2.0
beeeeettttttuuuuullllll	1.0
menteror	1.0
karana	1.0
